tag,stream_title,link
E19BL06,Uge 2 Lille Dag Polære koordinater og eksponentialfunktionen Hold B,https://video.dtu.dk/media/Uge+2%2C+Lille+DagA+Pol%C3%A6re+koordinater+og+eksponentialfunktionen%2C+Hold+B/0_scwuv5e0/241155
E19BL07,Uge 3 Store Dag Polynomier Part 1,https://video.dtu.dk/media/Uge+3%2C+Store+DagA+Polynomier+Part+1/0_3wr735nv/241155
E19BL08,Uge 3 Store Dag Polynomier Part 2,https://video.dtu.dk/media/Uge+3%2C+Store+DagA+Polynomier+Part+2/0_xepsf5u7/241155
E19BL09,Matematik 1 - Uge 3 Hold B Lille Dag Differentiabilitet,https://video.dtu.dk/media/Matematik+1+-+Uge+3+Hold+B%2C+Lille+DagA+Differentiabilitet/0_s0kqptdz/241155
E19BL10,Uge 4 Store Dag Taylors formler part 1,https://video.dtu.dk/media/Uge+4%2C+Store+DagA+Taylors+formler+part+1/0_n6dgspz4/241155
E19BL11,Uge 4 Store Dag Taylors formler part 2,https://video.dtu.dk/media/Uge+4%2C+Store+DagA+Taylors+formler+part+2/0_rerswzzm/241155
E19BL12,Uge 5 Lille Dag Matrixalgebra,https://video.dtu.dk/media/Uge+5%2C+Lille+DagA+Matrixalgebra/0_lpsk31io/241155
E19BL15,Uge 6 Store dag Determinanter og vektor-geometri part 1,https://video.dtu.dk/media/Uge+6%2C+Store+dagA+Determinanter+og+vektor-geometri+part+1/0_hq09rgjk/241155
E19BL17,Determinanter og Vektorer Uge 6 Hold B Lilledag,https://video.dtu.dk/media/Determinanter+og+Vektorer+Uge+6+Hold+B+Lilledag/0_xk05pt6b/241155
E20BL01,01005 - Mat 1 Store dag Komplekse tal (del 1),https://video.dtu.dk/media/01005+-+Mat+1A+Store+dag%2C+Komplekse+tal+%28del+1%29/0_wwauol3v/340965
E20BL02,01005 - Mat 1 Store dag Komplekse tal (del 2),https://video.dtu.dk/media/01005+-+Mat+1A+Store+dag%2C+Komplekse+tal+%28del+2%29/0_tshlbx2q/340965
E20BL03,Uge 1 Lille Dag Regning med reelle og komplekse tal,https://video.dtu.dk/media/Uge+1%2C+Lille+DagA+Regning+med+reelle+og+komplekse+tal/0_ztp7h30l/340965
E20BL04,Uge 2 Store Dag Polære koordinater og eksponentiel form (del 1),https://video.dtu.dk/media/Uge+2%2C+Store+DagA+Pol%C3%A6re+koordinater+og+eksponentiel+form+%28del+1%29/0_f1xiwj9s/340965
E20BL05,Uge 2 Store Dag Polære koordinater og eksponentiel form (del 2),https://video.dtu.dk/media/Uge+2%2C+Store+DagA+Pol%C3%A6re+koordinater+og+eksponentiel+form+%28del+2%29/0_zmm6mno4/340965
