semester,skema,title,link
E14/F15,Skema C,2. ord. diff-ligninger Del 1,https://video.dtu.dk/media/2.+ord.+diff-ligninger+Del+1/0_0k7mwp1p/200601
E14/F15,Skema C,2. ord. diff-ligninger Del 2,https://video.dtu.dk/media/2.+ord.+diff-ligninger+Del+2/0_qkrsev0s/200601
E14/F15,Skema C,System af diff-ligninger Del 1 (480p),https://video.dtu.dk/media/System+af+diff-ligninger+Del+1+%28480p%29/0_xd3or4ha/200601
E14/F15,Skema C,System af diff-ligninger Del 1,https://video.dtu.dk/media/System+af+diff-ligninger+Del+1/0_p0g1c6jr/200601
E14/F15,Skema C,System af diff-ligninger Del 2,https://video.dtu.dk/media/System+af+diff-ligninger+Del+2/0_6qd0w41m/200601
E14/F15,Skema C,Repetition Del 1,https://video.dtu.dk/media/Repetition+Del+1/0_prnu192z/200601
E14/F15,Skema C,Repetition Del 2,https://video.dtu.dk/media/Repetition+Del+2/0_26crdz15/200601
E14/F15,Skema C,Taylor 1 variable Del 1,https://video.dtu.dk/media/Taylor+1+variable+Del+1/0_u1gh8oni/200601
E14/F15,Skema C,Taylor 1 variable Del 2,https://video.dtu.dk/media/Taylor+1+variable+Del+2/0_f853woeu/200601
E14/F15,Skema C,Funktioner 2 variable Del 1,https://video.dtu.dk/media/Funktioner+2+variable+Del+1/0_vfolffn8/200601
E14/F15,Skema C,Funktioner 2 variable Del 2,https://video.dtu.dk/media/Funktioner+2+variable+Del+2/0_nf1g45tq/200601
E14/F15,Skema C,Gradienter Del 1,https://video.dtu.dk/media/Gradienter+Del+1/0_y5yvpx3b/200601
E14/F15,Skema C,Gradienter Del 2,https://video.dtu.dk/media/Gradienter+Del+2/0_26zf69fm/200601
E14/F15,Skema C,Værdimængde Del 1,https://video.dtu.dk/media/V%C3%A6rdim%C3%A6ngde+Del+1/0_45ofm1yg/200601
E14/F15,Skema C,Værdimængde Del 2,https://video.dtu.dk/media/V%C3%A6rdim%C3%A6ngde+Del+2/0_2rilpb93/200601
E14/F15,Skema C,Symmetriske matricer Del 1,https://video.dtu.dk/media/Symmetriske+matricer+Del+1/0_m3p59yei/200601
E14/F15,Skema C,Symmetriske matricer Del 2,https://video.dtu.dk/media/Symmetriske+matricer+Del+2/0_fgr15sdc/200601
E14/F15,Skema C,Keglesnit Del 1,https://video.dtu.dk/media/Keglesnit+Del+1/0_44znblbh/200601
E14/F15,Skema C,Keglesnit Del 2,https://video.dtu.dk/media/Keglesnit+Del+2/0_y8wx8l8w/200601
E14/F15,Skema C,Taylor 2 variable Del 1,https://video.dtu.dk/media/Taylor+2+variable+Del+1/0_w3ut6sxt/200601
E14/F15,Skema C,Taylor 2 variable Del 2,https://video.dtu.dk/media/Taylor+2+variable+Del+2/0_ypas85xz/200601
E14/F15,Skema C,Riemann integraler Del 1,https://video.dtu.dk/media/Riemann+integraler+Del+1/0_4thr6y2y/200601
E14/F15,Skema C,Riemann integraler Del 2,https://video.dtu.dk/media/Riemann+integraler+Del+2/0_t9z4zwfi/200601
E14/F15,Skema C,Plan integraler Del 1,https://video.dtu.dk/media/Plan+integraler+Del+1/0_t6qe8be3/200601
E14/F15,Skema C,Plan integraler Del 2,https://video.dtu.dk/media/Plan+integraler+Del+2/0_fj7pawt4/200601
E14/F15,Skema C,Flader/Fladeintegraler Del 1,https://video.dtu.dk/media/Flader+Fladeintegraler+Del+1/0_unf3g3wa/200601
